"indexNum","lAreaCd","lAreaNm","lAreaUnitCd","lAreaEngNm","shainTopDispF","lAreaOrdr","lwrRankAreaAbbrF","lAreaNmHrgn"
1,41,東京都,1,tokyo,1,1,0,とうきょうと
2,42,神奈川県,1,kanagawa,1,3,0,かながわけん
3,44,埼玉県,1,saitama,1,5,0,さいたまけん
4,43,千葉県,1,chiba,1,6,0,ちばけん
5,47,茨城県,1,ibaraki,1,14,1,いばらきけん
6,46,栃木県,1,tochigi,1,17,1,とちぎけん
7,45,群馬県,1,gunma,1,22,1,ぐんまけん
8,61,大阪府,2,oosaka,1,2,0,おおさかふ
9,62,兵庫県,2,hyogo,1,7,0,ひょうごけん
10,63,京都府,2,kyoto,1,9,0,きょうとふ
11,64,滋賀県,2,shiga,1,20,1,しがけん
12,65,奈良県,2,nara,1,23,1,ならけん
13,66,和歌山県,2,wakayama,1,38,1,わかやまけん
14,81,愛知県,3,aichi,1,4,0,あいちけん
15,600,静岡県,3,shizuoka,1,10,0,しずおかけん
16,85,岐阜県,3,gifu,1,19,1,ぎふけん
17,84,三重県,3,mie,1,21,1,みえけん
18,101,北海道,4,hokkaidou,0,12,0,ほっかいどう
19,106,宮城県,5,miyagi,0,11,0,みやぎけん
20,107,福島県,5,fukushima,0,27,1,ふくしまけん
21,108,山形県,5,yamagata,0,32,1,やまがたけん
22,109,岩手県,5,iwate,0,40,1,いわてけん
23,111,青森県,5,aomori,0,42,1,あおもりけん
24,110,秋田県,5,akita,0,43,1,あきたけん
25,116,長野県,10,nagano,0,15,1,ながのけん
26,117,新潟県,10,niigata,0,18,0,にいがたけん
27,118,山梨県,10,yamanashi,0,31,1,やまがたけん
28,122,富山県,6,toyama,0,26,1,とやまけん
29,123,石川県,6,ishikawa,0,28,1,いしかわけん
30,124,福井県,6,fukui,0,39,1,ふくいけん
31,131,広島県,7,hiroshima,0,13,0,ひろしまけん
32,132,岡山県,7,okayama,0,16,0,おかやまけん
33,135,山口県,7,yamaguchi,0,29,1,やまぐちけん
34,134,島根県,7,shimane,0,41,1,しまねけん
35,133,鳥取県,7,tottori,0,44,1,とっとりけん
36,136,香川県,8,kagawa,0,30,1,かがわけん
37,137,愛媛県,8,ehime,0,35,1,えひめけん
38,138,徳島県,8,tokushima,0,45,1,とくしまけん
39,139,高知県,8,kouchi,0,47,1,こうちけん
40,440,福岡県,9,fukuoka,0,8,0,ふくおかけん
41,443,熊本県,9,kumamoto,0,24,0,くまもとけん
42,446,鹿児島県,9,kagoshima,0,25,1,かごしまけん
43,442,長崎県,9,nagasaki,0,33,1,ながさきけん
44,444,大分県,9,ooita,0,34,1,おおいたけん
45,441,佐賀県,9,saga,0,36,1,さがけん
46,445,宮崎県,9,miyazaki,0,37,1,みやざきけん
47,447,沖縄県,9,okinawa,0,46,1,おきなわけん
